event_type,event_cause,description,requires_road_closure,priority,latitude,longitude,address,corridor,zone,police_station,description_missing,Day_of_Week
unplanned,construction,ಮೆಟ್ರೋ ವರ್ಕ್ ಮಾಡ್ತಾಯಿದರೆ ಸರ್ ಟ್ರಾಫಿಕ್ ಮೊಮೆಂಟ್ ಸ್ಲೋ sar,False,High,13.0380883,77.6259417,"MBT Road, Block 5 Stage 1, HBR Layout, Bengaluru, Karnataka. Pin-560043 (India)",Hennur Main Road,North Zone 1,Hennuru,False,Monday
unplanned,construction,[LOCATION] work [LOCATION] trafice moment slow sir,True,High,13.0384192,77.6257821,"MBT Road, Block 5 Stage 1, HBR Layout, Bengaluru, Karnataka. Pin-560043 (India)",Hennur Main Road,North Zone 1,Hennuru,False,Monday
planned,construction,karthiknagara towards [LOCATION] and karthiknagara towards marathhalli traffic movement will be slow due to [LOCATION] station piller work,False,High,12.9698023,77.7004597,"Outer Ring Road, Central Avenue, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",ORR East 2,East Zone 1,HAL Old Airport,False,Saturday
planned,construction,ಮಳೆ ಬಂದು ರಸ್ತೆ ಗುಂಡಿಗಳು ಬಿದ್ದಿದೆ ಸಂಚಾರ ನಿಧಾನಗತಿಯಲ್ಲಿದೆ ಸರ್,False,High,12.9050763,77.5856446,"24th Main Road, P Muniyappa Garden, JP Nagar Phase 6, Bengaluru, Karnataka. Pin-560078 (India)",ORR West 1,South Zone 2,J.P. Nagar,False,Saturday
unplanned,construction,[LOCATION] work going on Sir traffic is slow moving sir,False,High,13.0020386,77.6630527,"1st AA Cross Road, Gopalan Aristocrat, Kasturi Nagar, Banaswadi, Bengaluru, Karnataka. Pin-560043 (India)",ORR North 1,Central Zone 1,Banaswadi,False,Tuesday
planned,construction,[LOCATION] statin work,False,High,12.969172,77.7005467,"West Parallel Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",ORR East 2,East Zone 1,HAL Old Airport,False,Monday
unplanned,construction,"ನಿಯರ್ ಈಜಿಪುರ siganl ವಾಟರ್ loging ಆಗುತಿದು,, ಸದರಿ ಫ್ಲೈ ಓವರ್ ಕಾಂಟ್ರಾಕ್ಟ್ ರವರು ನೀರು ಹರಿದು ಹೋಗಲು ರೋಡ್ ಸಮನಾಗಿ ಮಾಡಲು ರೋಡ್ ಕಟಿಂಗ್ ಮಾಡಿದ್ದು,,, ಸಂಚಾರ ಸುಗಮ ವಾಗಿದೆ. Sir [PERSON] ಟ್ರಾಫಿಕ್. Ps ಲಿಮಿಟ್",False,High,12.9378462,77.6349705,"Domlur Inner Ring Road, Srinivagilu Junction, Agaram, Bengaluru, Karnataka. Pin-560007 (India)",IRR(Thanisandra road),Central Zone 1,Ashok Nagar,False,Tuesday
planned,construction,[LOCATION] towards [PERSON] and [PERSON] towards [LOCATION] traffic movement will be slow due to [LOCATION] station work,False,High,12.9694928,77.700667,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",ORR East 2,East Zone 1,HAL Old Airport,False,Tuesday
planned,construction,White Topping work from [LOCATION] to [LOCATION].,True,Low,13.05331416,77.55094528,"ಬಿಇಎಲ್ ರಸ್ತೆ, ಎಚ್ಎಮ್.ಟಿ ವಾರ್ಡ್, ಬೆಂಗಳೂರು ಉತ್ತರ ನಗರ ನಿಗಮ, Bengaluru, ಯಲಹಂಕ ತಾಲೂಕು, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560013, India",Non-corridor,North Zone 1,Jalahalli,False,Saturday
unplanned,construction,[PERSON] ನಡೆಯುತ್ತಿರುವ ಕಾರಣ ಬ್ಯಾರಕ್ಗೆಟ್ ನಿಂದ ರಸ್ತೆ ಅರ್ಧ ಭಾಗ [LOCATION] ಸರ್,False,High,13.0377313,77.6265336,"MBT Road, Block 5 Stage 1, HBR Layout, Bengaluru, Karnataka. Pin-560043 (India)",ORR North 1,North Zone 1,Hennuru,False,Thursday
unplanned,construction,BWSSB work at [LOCATION] hebbal circle to bhadrapp layout sir traffic slow moving sir,False,High,13.0445549,77.5829215,"Outer Ring Road, Abdul Patel Syed Layout, Bhoopasandra, RMV Stage 2, Bengaluru, Karnataka. Pin-560094 (India)",ORR North 2,North Zone 1,Kodigehalli,False,Thursday
planned,construction,Puttenahalli underpass water logging cleaning work progressing from BBMP sir,False,High,12.906294,77.5854735,"Dr Rajkumar Puniya Bhoomi Road, Learning to Fly, JP Nagar Phase 6, Bengaluru, Karnataka. Pin-560078 (India)",ORR West 1,South Zone 2,J.P. Nagar,False,Thursday
planned,construction,Good evening sir/madam [PERSON] work at Coffee Day opposite.,False,High,13.0949499,77.5972685,"Bellary Road, Concorde Mayfair, KHB Colony, Yelahanka, Bengaluru, Karnataka. Pin-560064 (India)",Bellary Road 2,North Zone 2,Yelahanka,False,Thursday
planned,procession,[PERSON] jain bandari college towards [LOCATION],False,Low,12.9533243,77.5737148,"KR Main Road, BNV Subramanya Circle, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",Non-corridor,,V.V.Puram (C.Pet),False,Sunday
unplanned,construction,"“ಸಂಚಾರ ಸಲಹೆ""
 ಕೆಇಬಿ ಜಂಕ್ಷನ್ ನಲ್ಲಿ ಮೆಟ್ರೋ ಕೆಲ್ಸ ಪ್ರಗತಿಯಲಿದ್ದು  ಹೆಬ್ಬಾಳ್  ಕಡೆ ಇಂದ ಕೆಆರ್ ಪುರಂ  ಕಡೆಗೆ ನಿಧಾನಗತಿಯ ಸಂಚಾರವಿರುತ್ತದೆ.",False,High,13.0378492,77.626686,"30th Cross Road, Block 5 Stage 1, HBR Layout, Bengaluru, Karnataka. Pin-560043 (India)",ORR North 1,North Zone 1,Hennuru,False,Thursday
planned,public_event,[PERSON],True,Low,12.98709566,77.61905384,"Mother Teresa Circle, Saint John's Church Road, Kothandram Layout, K Kamaraj Ward, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560042, India",Non-corridor,North Zone 1,Pulikeshinagar(F.Town),False,Wednesday
planned,construction,[LOCATION] towards [PERSON] and [PERSON] towards [LOCATION] traffic movement will be slow due to [LOCATION] station work,False,High,12.9696663,77.7005081,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",ORR East 2,East Zone 1,HAL Old Airport,False,Thursday
unplanned,construction,KBR work for senatory pipe sir,True,High,12.9161006,77.6324548,"13th Cross Road, Teachers Colony, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",ORR East 1,South Zone 2,HSR Layout,False,Monday
planned,construction,road construction...no traffic,True,High,13.0360195,77.5212488,"Peenya Main Road, Sri Muneshwara Industrial Estate, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",Tumkur Road,West Zone 1,Peenya,False,Friday
unplanned,construction,ಬೋರ್ ವೆಲ್ [LOCATION] ಇದೆ ಸರ್ ಟ್ರಾಫಿಕ್ ನಾರ್ಮಲ್,True,Low,12.9584994,77.6017538,"Berlie Street, Langford Town, Shanti Nagar, Bengaluru, Karnataka. Pin-560025 (India)",Non-corridor,Central Zone 1,Ashok Nagar,False,Friday
planned,construction,shantala towards ltp road White taping road cunstuction..,True,Low,12.9745058,77.5704978,"Bhashyam Road, Cottonpet Circle, Cottonpete, Bengaluru, Karnataka. Pin-560053 (India)",Non-corridor,Central Zone 2,Chamarajpet,False,Saturday
unplanned,construction,road wait tapping work going,True,High,12.9757819,77.5387044,"Nagarabhavi Main Road, Magadi Chord Road Layout, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",West of Chord Road,West Zone 2,Vijayanagara,False,Saturday
unplanned,construction,kptcl work at panattur main road towards kadubeesanahalli sir.traffic slow moving sir.single line traffic moving sir,False,Low,12.936298,77.7054278,"Panathur Main Road, Panathur, Bengaluru, Karnataka. Pin-560087 (India)",Non-corridor,East Zone 1,HAL Old Airport,False,Saturday
unplanned,procession,ಬೇಗೂರು ಆಂಜನೇಯ ದೇವಸ್ಥಾನದಲ್ಲಿ ಪಲ್ಲಕ್ಕಿ ಉತ್ಸವ ಇದ್ದು ಸಂಚಾರ ನಿಧಾನಗತಿಯಲ್ಲಿ ಸಾಗುತ್ತಿರುತ್ತದೆ ಸರ್,False,Low,12.8957933,77.626025,"Begur Main Road, Smt Ramakka Layout, Hongasandra, Bengaluru, Karnataka. Pin-560068 (India)",Non-corridor,South Zone 2,Madiwala,False,Saturday
planned,construction,"BWSSB Road Cwork at [LOCATION] junction.(12.985016993498627, 77.57213578357488)",True,Low,12.98506103,77.57213473,"ಧನವಂತ್ರಿ ರಸ್ತೆ, ಸ್ವತಂತ್ರ ಪಾಳ್ಯ ವಾರ್ಡ್, ಬೆಂಗಳೂರು ಮಧ್ಯ ನಗರ ನಿಗಮ, Bengaluru, ಬೆಂಗಳೂರು ಉತ್ತರ, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560009, India",Non-corridor,Central Zone 2,Sheshadripuram,False,Saturday
planned,construction,fathholls,True,Low,13.0160832,77.7091853,"Basavanapura Road, Sri Manjunatha Layout, KR Puram, Bengaluru, Karnataka. Pin-560049 (India)",Non-corridor,,K.R. Pura,False,Monday
planned,construction,"BWSSB Road Cwork at [LOCATION] junction.(12.985016993498627, 77.57213578357488)",True,Low,12.98506103,77.57213473,"ಧನವಂತ್ರಿ ರಸ್ತೆ, ಸ್ವತಂತ್ರ ಪಾಳ್ಯ ವಾರ್ಡ್, ಬೆಂಗಳೂರು ಮಧ್ಯ ನಗರ ನಿಗಮ, Bengaluru, ಬೆಂಗಳೂರು ಉತ್ತರ, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560009, India",Non-corridor,Central Zone 2,Sheshadripuram,False,Saturday
unplanned,construction,KPTCL Cable work progressing at panattur railway bridge in fornt of  vandana tejas appartment both side traffic slow movement it causing traffic connection sir,False,Low,12.9362566,77.7054884,"Panathur Main Road, Vandana Tejyesh, Varthur Hobli, Panathur, Bengaluru, Karnataka. Pin-560087 (India)",Non-corridor,East Zone 1,HAL Old Airport,False,Saturday
unplanned,protest,passenger Ato gas,True,Low,13.0217922,77.6032642,"Dinnur Main Road, Southern Residency Apartment, Sultanpalya, Bengaluru, Karnataka. Pin-560032 (India)",Non-corridor,,R.T. Nagar,False,Saturday
planned,protest,,True,Low,13.0218192,77.6032802,"Dinnur Main Road, Southern Residency Apartment, Sultanpalya, Bengaluru, Karnataka. Pin-560032 (India)",Non-corridor,,R.T. Nagar,True,Saturday
planned,protest,,True,Low,13.0217897,77.6032151,"Dinnur Main Road, Southern Residency Apartment, Sultanpalya, Bengaluru, Karnataka. Pin-560032 (India)",Non-corridor,,R.T. Nagar,True,Saturday
unplanned,construction,[LOCATION] to Kadabeesanahalli. Infront of [PERSON] apprtment [PERSON] work in progress. slow moving traffic,False,Low,12.9363917,77.7054166,"Panathur Main Road, Vandana Tejyesh, Varthur Hobli, Panathur, Bengaluru, Karnataka. Pin-560087 (India)",Non-corridor,East Zone 1,HAL Old Airport,False,Sunday
planned,public_event,"IPL Match 2026, BMTC Buses Holding Area, CTO Junction to BRV Junction, [LOCATION].",False,High,12.98083823,77.59757498,"Minsk Square, ಕಬ್ಬನ್ ರಸ್ತೆ, ವಸಂತ ನಗರ, ಬೆಂಗಳೂರು ಮಧ್ಯ ನಗರ ನಿಗಮ, Bengaluru, ಬೆಂಗಳೂರು ಉತ್ತರ, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560001, India",CBD 2,,Shivajinagar,False,Sunday
unplanned,procession,annama usthava,False,Low,12.8986496,77.5722412,"Konanakunte Main Road, Channasandra Layout, Yalanchenahalli, Bengaluru, Karnataka. Pin-560078 (India)",Non-corridor,South Zone 1,K.S. Layout,False,Sunday
unplanned,procession,ಬೇಗೂರು ರೋಡ್ ಆಂಜನೇಯ ದೇವಸ್ಥಾನದಲ್ಲಿ ಪಲ್ಲಕ್ಕಿ ಉತ್ಸವ ಇರುವುದರಿಂದ ಬೊಮ್ಮನಹಳ್ಳಿ ಯಿಂದ ಬೇಗೂರು ಸಂಚಾರ ನಿಧಾನಗತಿಯಲ್ಲಿ ಇರುತ್ತದೆ ಸರ್,False,Low,12.8980183,77.626445,"Begur Main Road, Krishna Reddy Layout, Hongasandra, Bengaluru, Karnataka. Pin-560068 (India)",Non-corridor,South Zone 2,Madiwala,False,Sunday
planned,procession,due to [LOCATION] festival outgoing and  incoming traffic slow movement,False,Low,12.8897429,77.5634232,"Canara Bank Cross Road, Konanakunte Junction, Konanakunte, Bengaluru, Karnataka. Pin-560062 (India)",Non-corridor,South Zone 1,K.S. Layout,False,Sunday
planned,construction,karthiknagara towards [LOCATION] and karthiknagara towards marathhalli traffic movement will be slow due to [LOCATION] station piller work,False,High,12.9694641,77.7006492,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",ORR East 2,East Zone 1,HAL Old Airport,False,Monday
planned,construction,fly over load testing work sir,True,Low,13.0488014,77.4969913,"Mumbai Bengaluru Highway, Nagasandra, Bengaluru, Karnataka. Pin-560073 (India)",Non-corridor,West Zone 1,Peenya,False,Tuesday
planned,public_event,Shri. [PERSON],True,Low,12.87879912,77.6376673,"Manipal County Road, Vishwapriya Nagara, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560114, India",Non-corridor,,Electronic City,False,Monday
planned,construction,cable repair works on [LOCATION],True,Low,13.04889341,77.49697387,"Goraguntepalya Flyover, Manjunatha Nagar, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560073, India",Non-corridor,,Chikkabanavara,False,Tuesday
planned,construction,Notification done for flyover closure.,True,High,13.0324111,77.5338246,"Mumbai Bengaluru Highway, Ramana Joythi Apartment, Yeshwanthpur Suburb Stage 2, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",Tumkur Road,North Zone 2,Yeshwanthpura,False,Tuesday
unplanned,construction,[LOCATION] work,True,High,12.9693517,77.7006465,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",ORR East 2,East Zone 1,HAL Old Airport,False,Monday
planned,construction,[PERSON] station work traffic slow moment sir [PERSON] towards rainbow sir,False,High,12.9694209,77.7005861,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",ORR East 2,East Zone 1,HAL Old Airport,False,Tuesday
planned,construction,karthiknagara towards [LOCATION] and karthiknagara towards marathhalli traffic movement will be slow due to [LOCATION] station piller work,False,High,12.9694344,77.7006256,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",ORR East 2,East Zone 1,HAL Old Airport,False,Tuesday
unplanned,procession,MPS junction near [LOCATION] wine shop muindugade ರಾಮನವಮಿ ಪ್ರಯುಕ್ತ ಮಜ್ಜಿಗೆ and panaka vitarane maduttiddu [PERSON] traffic slow moment ಇರುತ್ತದೆ,False,High,12.9213343,77.6202852,"Hosur Road, Market Square Value Mall, Block 2, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",Hosur Road,South Zone 2,Madiwala,False,Tuesday
